text,sentiment,words
price great even crowd much better smaller flavorice,1,"['price', 'great', 'even', 'crowd', 'much', 'better', 'smaller', 'flavoric']"
easy use,1,"['easi', 'use']"
perfect hard licorice lovers,1,"['perfect', 'hard', 'licoric', 'lover']"
new favorite,1,"['new', 'favorit']"
poptarts work art,1,"['poptart', 'work', 'art']"
great energy drink without artificial ingredients,1,"['great', 'energi', 'drink', 'without', 'artifici', 'ingredi']"
lindt pistachio chocolate,1,"['lindt', 'pistachio', 'chocol']"
bland,-1,['bland']
buy less,1,"['buy', 'le']"
cats love,1,"['cat', 'love']"
much easier,1,"['much', 'easier']"
best waffle mix find,1,"['best', 'waffl', 'mix', 'find']"
yummy,1,['yummi']
prefer whole slices,1,"['prefer', 'whole', 'slice']"
kelloggs mueslix cereal,1,"['kellogg', 'mueslix', 'cereal']"
tastes great pkg says made china wont buy,-1,"['tast', 'great', 'pkg', 'say', 'made', 'china', 'wont', 'buy']"
great deal,1,"['great', 'deal']"
great lowfat cholestrol snack,1,"['great', 'lowfat', 'cholestrol', 'snack']"
tastes like mushy pineapple,-1,"['tast', 'like', 'mushi', 'pineappl']"
oatmeal,1,['oatmeal']
great tasting pancake mix,1,"['great', 'tast', 'pancak', 'mix']"
,-1,[]
delighted amazoncom,1,"['delight', 'amazoncom']"
wonderful,1,['wonder']
delicious tea slight hints almond chocolate overpowering,1,"['delici', 'tea', 'slight', 'hint', 'almond', 'chocol', 'overpow']"
baby likes one,1,"['babi', 'like', 'one']"
mmmmm mmmmm,1,"['mmmmm', 'mmmmm']"
delight says,1,"['delight', 'say']"
absotively posilutely delicious,1,"['absot', 'posilut', 'delici']"
great,1,['great']
one favorites,1,"['one', 'favorit']"
great color,1,"['great', 'color']"
works,1,['work']
popchips,1,['popchip']
excellent coffee,1,"['excel', 'coffe']"
sweet soothing,1,"['sweet', 'sooth']"
theyre madhouse munchies,-1,"['theyr', 'madhous', 'munchi']"
 woofs,1,['woof']
great ingredients,1,"['great', 'ingredi']"
martha white chocolate chocolate muffin mix,1,"['martha', 'white', 'chocol', 'chocol', 'muffin', 'mix']"
taste great,1,"['tast', 'great']"
pop  flavor variety pack,1,"['pop', 'flavor', 'varieti', 'pack']"
great product,1,"['great', 'product']"
excellent alternative regular gatorade,1,"['excel', 'altern', 'regular', 'gatorad']"
barbeque perfection,1,"['barbequ', 'perfect']"
flavor,1,['flavor']
healthy dog food,1,"['healthi', 'dog', 'food']"
love love love mueslix,1,"['love', 'love', 'love', 'mueslix']"
great multiinfusion jasmine dragon pearl green tea,1,"['great', 'multiinfus', 'jasmin', 'dragon', 'pearl', 'green', 'tea']"
must spoiled,-1,"['must', 'spoil']"
coffeemate creamer,1,"['coffeem', 'creamer']"
spam meal,1,"['spam', 'meal']"
son loves,1,"['son', 'love']"
able eat bread,1,"['abl', 'eat', 'bread']"
remembered,1,['rememb']
completely ripped,-1,"['complet', 'rip']"
acquired taste,1,"['acquir', 'tast']"
love product,1,"['love', 'product']"
corn muffin cornhusker,-1,"['corn', 'muffin', 'cornhusk']"
yum yum yum,1,"['yum', 'yum', 'yum']"
scrumptious,1,['scrumptious']
great guiltless snack,1,"['great', 'guiltless', 'snack']"
excellent,1,['excel']
delicious,1,['delici']
,1,[]
dirty martini,1,"['dirti', 'martini']"
yum,1,['yum']
great product weak packaging,1,"['great', 'product', 'weak', 'packag']"
